164.000000,1985734.000000,106601.331967,258423.835141,4433.000000,7644.000000,17476.000000,1118858.000000,300095994,16086791,3651701557,16086791
160.000000,1251836.000000,10242.590219,58682.806402,1372.000000,3289.000000,6491.000000,82633.000000,300100321,3915893,888910636,3915893
174.000000,1982447.000000,4178.020088,7440.239860,1176.000000,2698.000000,5142.000000,25071.000000,300043711,1391077,315790937,1391077
149.000000,981382.000000,678.922204,6740.150262,280.000000,400.000000,548.000000,5709.000000,300035877,944643,214433961,944643
172.000000,62073.000000,701.297990,1830.591144,305.000000,427.000000,584.000000,8245.000000,300035068,755350,171464450,755350
170.000000,55282.000000,662.719999,1640.765172,307.000000,427.000000,580.000000,6936.000000,300038496,656724,149076348,656724
167.000000,55223.000000,1003.677134,1648.022235,367.000000,624.000000,1045.000000,8113.000000,300041467,619852,140706404,619852
171.000000,43064.000000,990.962009,1568.025785,362.000000,610.000000,1038.000000,7535.000000,300044258,450142,102182234,450142
173.000000,43485.000000,1027.138862,1772.155305,342.000000,583.000000,1062.000000,8412.000000,300044666,380919,86468652,380919
180.000000,53100.000000,1712.604697,2672.295008,479.000000,966.000000,1825.000000,14373.000000,300048122,324235,73601345,324235
180.000000,922867.000000,1685.944345,4073.999402,591.000000,1168.000000,1936.000000,11127.000000,300044167,271033,61524608,271033
180.000000,67426.000000,1750.234025,2629.075263,572.000000,1079.000000,1885.000000,15150.000000,300046903,226946,51516976,226946
180.000000,94896.000000,2484.486455,3102.197973,753.000000,1655.000000,3038.000000,15821.000000,300048982,164116,37255268,164116
174.000000,959081.000000,2727.783267,4829.876736,826.000000,1787.000000,3323.000000,17426.000000,300047262,139941,31767543,139941
190.000000,280603.000000,2459.465253,4734.723134,682.000000,1531.000000,2817.000000,18963.000000,300047862,100783,22877741,100783
186.000000,205501.000000,1906.554002,3164.311525,446.000000,986.000000,2148.000000,16017.000000,300047627,105717,23997759,105717
162.000000,68335.000000,3210.681282,4095.883412,875.000000,1922.000000,3823.000000,19943.000000,300047092,85803,19477437,85803
175.000000,58608.000000,2253.052239,4354.012923,524.000000,1108.000000,2193.000000,27862.000000,300050830,57525,13058253,57525
188.000000,55499.000000,2000.369534,3048.140055,557.000000,1219.000000,2172.000000,16804.000000,300049377,65096,14777455,65096
186.000000,134823.000000,1690.442449,3327.243242,408.000000,773.000000,1613.000000,19284.000000,300047941,47213,10717390,47213
177.000000,206535.000000,1243.808219,2624.849683,356.000000,695.000000,1342.000000,9611.000000,300048816,44066,10002982,44066
196.000000,35669.000000,2054.954029,3281.672053,552.000000,1171.000000,2200.000000,16936.000000,300049631,49072,11139344,49072
178.000000,29821.000000,1455.529271,2459.491469,366.000000,710.000000,1407.000000,13082.000000,300054008,36320,8244640,36320
184.000000,61240.000000,993.527179,1800.856353,327.000000,557.000000,1020.000000,8313.000000,300046936,33503,7605181,33503
138.000000,32505.000000,308.528304,893.132829,209.000000,229.000000,254.000000,1411.000000,300048078,46925,10651975,46925
129.000000,30492.000000,278.118577,717.123791,205.000000,224.000000,249.000000,994.000000,300046916,60960,13837920,60960
134.000000,19701.000000,269.865466,567.274985,205.000000,223.000000,246.000000,890.000000,300048692,62936,14286472,62936
125.000000,75787.000000,580.491725,2139.865561,252.000000,318.000000,425.000000,6671.000000,300048734,62112,14099424,62112
132.000000,63402.000000,619.786010,2515.067644,272.000000,331.000000,398.000000,9838.000000,300049078,63989,14525503,63989
136.000000,58052.000000,567.172172,2150.642219,264.000000,321.000000,400.000000,6615.000000,300046422,66687,15137949,66687
138.000000,85674.000000,1049.617910,3371.603315,315.000000,505.000000,937.000000,11705.000000,300049074,66294,15048738,66294
135.000000,114435.000000,1018.473468,3700.055737,331.000000,485.000000,812.000000,7905.000000,300048235,67042,15218534,67042
136.000000,82441.000000,1019.654585,2684.534400,311.000000,718.000000,970.000000,7650.000000,300048075,67559,15335893,67559
137.000000,63059.000000,803.626562,2082.008803,305.000000,434.000000,777.000000,5138.000000,300047985,54752,12428704,54752
146.000000,65235.000000,880.569742,2375.818361,329.000000,491.000000,833.000000,5748.000000,300049480,72006,16345362,72006
129.000000,69843.000000,1053.796851,2489.367641,354.000000,792.000000,1158.000000,5191.000000,300048297,59990,13617730,59990
132.000000,71234.000000,1214.442911,2353.882348,404.000000,927.000000,1419.000000,6376.000000,300052200,75894,17227938,75894
135.000000,52322.000000,1036.772327,2167.002783,269.000000,734.000000,1169.000000,7677.000000,300052172,61947,14061969,61947
120.000000,200992.000000,1232.672311,2870.988654,344.000000,857.000000,1310.000000,9252.000000,300048160,86676,19675452,86676
142.000000,63694.000000,1217.828178,1983.364927,492.000000,1006.000000,1395.000000,6700.000000,300047601,86606,19659562,86606
136.000000,925277.000000,942.309842,4279.458265,318.000000,532.000000,987.000000,5509.000000,300048276,73211,16618897,73211
125.000000,277784.000000,1028.937919,2609.663806,275.000000,662.000000,1073.000000,7448.000000,300050195,73463,16676101,73463
128.000000,224682.000000,1171.978510,2800.344977,339.000000,693.000000,1181.000000,8765.000000,300048083,93746,21280342,93746
141.000000,86501.000000,1558.678493,2958.526332,679.000000,1065.000000,1669.000000,8919.000000,300051002,102412,23247524,102412
127.000000,103955.000000,1374.935733,2773.266838,377.000000,1071.000000,1580.000000,8855.000000,300047870,99256,22531112,99256
126.000000,176951.000000,1016.780045,2817.511582,231.000000,290.000000,501.000000,12699.000000,300046552,71993,16342411,71993
121.000000,48863.000000,825.953100,1984.667433,217.000000,271.000000,472.000000,8904.000000,300044921,119754,27184197,119754
